1070k  113.26.166.90:8083
1062k  113.26.166.90:8082
1059k  110.177.96.105:8082
1050k  110.177.96.105:8083
1041k  110.177.96.105:8084
986k  223.11.157.81:7777
865k  223.12.5.249:8083
864k  223.12.5.249:8082
849k  110.178.52.91:8085
845k  110.178.52.75:8085
837k  110.178.52.111:8085
832k  110.178.52.75:8084
725k  110.178.52.91:8084
712k  110.179.80.155:8082
710k  110.178.52.111:8084
616k  110.178.52.111:8082
580k  110.178.52.75:8083
565k  110.178.52.111:8083
563k  110.178.52.91:8082
506k  110.178.52.91:8083
447k  110.178.52.75:8082
